R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.7E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,0.0043,0.0,0.0,0.0,270.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,2.3E-6,0.0,0.0,0.0,31000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,3.0,3.4E-5,0.0,0.0,0.0,61000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,3.0,1.7E-4,0.0,0.0,0.0,88000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,5.0,3.7E-4,0.0,0.0,0.0,100000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,6.0,8.1E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,10.0,0.0017,0.0,0.0,0.0,140000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,36.0,0.0,0.0,0.0,13.0,0.003,0.0,0.0,0.0,160000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,36.0,0.0,0.0,0.0,14.0,0.0046,0.0,0.0,0.0,170000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,15.0,0.006,0.0,0.0,0.0,180000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,15.0,0.0072,0.0,0.0,0.0,190000.0,1.0,5.0E8,
3.2E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,15.0,0.0095,0.0,0.0,0.0,200000.0,1.0,5.0E8,
3.1E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,16.0,0.013,0.0,0.0,0.0,210000.0,1.0,5.0E8,
3.1E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,19.0,0.019,0.0,0.0,0.0,220000.0,1.0,5.0E8,
3.1E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,19.0,0.027,0.0,0.0,0.0,230000.0,1.0,5.0E8,
3.1E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,19.0,0.038,0.0,0.0,0.0,250000.0,1.0,5.0E8,
3.1E-36,2.7,3099999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3099999.9999999995,35.0,0.0,0.0,0.0,20.0,0.054,0.0,0.0,0.0,260000.0,1.0,5.0E8,
